County,Year,Population
Chemung,2010,87073
Chenango,2010,49978
Clinton,2010,80874
Columbia,2010,60786
Cortland,2010,47401
Delaware,2010,43997
Dutchess,2010,291541
Erie,2010,895158
Essex,2010,35964
Franklin,2010,49634
Fulton,2010,54344
Genesee,2010,56871
Greene,2010,48478
Hamilton,2010,4824
Herkimer,2010,61330
Jefferson,2010,118131
Kings,2010,2550004
Lewis,2010,25785
Livingston,2010,62020
Madison,2010,69222
Monroe,2010,724942
Montgomery,2010,47969
Nassau,2010,1344303
New York,2010,1618207
Niagara,2010,211650
Oneida,2010,228059
Onondaga,2010,449339
Ontario,2010,105010
Orange,2010,383475
Orleans,2010,41377
Oswego,2010,119906
Otsego,2010,60905
Putnam,2010,98472
Queens,2010,2291352
Rensselaer,2010,154087
Richmond,2010,488456
Rockland,2010,298092
Saratoga,2010,219519
Schenectady,2010,151036
Schoharie,2010,31169
Schuyler,2010,18455
Seneca,2010,33740
Steuben,2010,95252
St Lawrence,2010,108273
Suffolk,2010,1511183
Sullivan,2010,75137
Tioga,2010,49341
Tompkins,2010,101158
Ulster,2010,179764
Warren,2010,65549
Washington,2010,62227
Wayne,2010,90027
Westchester,2010,948303
Wyoming,2010,40743
Yates,2010,24182
Albany,2009,298400
Allegany,2009,49605
Bronx,2009,1398093
Broome,2009,194381
Cattaraugus,2009,77397
Cayuga,2009,79569
Chautauqua,2009,133112
Chemung,2009,87431
Chenango,2009,50830
Clinton,2009,82153
Columbia,2009,61871
Cortland,2009,48257
Delaware,2009,45075
Dutchess,2009,294145
Erie,2009,905273
Essex,2009,36495
Franklin,2009,50448
Fulton,2009,54912
Genesee,2009,57420
Greene,2009,49071
Hamilton,2009,4980
Herkimer,2009,61943
Jefferson,2009,118766
Kings,2009,2567968
Lewis,2009,26082
Livingston,2009,63003
Madison,2009,69784
Monroe,2009,731849
Montgomery,2009,48557
Nassau,2009,1352956
New York,2009,1642066
Niagara,2009,213831
Oneida,2009,231141
Onondaga,2009,451917
Ontario,2009,104919
Orange,2009,383829
Orleans,2009,41904
Oswego,2009,121238
Otsego,2009,61976
Putnam,2009,99574
Queens,2009,2303205
Rensselaer,2009,155511
Richmond,2009,489575
Rockland,2009,299944
Saratoga,2009,218936
Schenectady,2009,151942
Schoharie,2009,31936
Schuyler,2009,18839
Seneca,2009,34162
Steuben,2009,96303
St Lawrence,2009,109430
Suffolk,2009,1521962
Sullivan,2009,76387
Tioga,2009,49986
Tompkins,2009,101616
Ulster,2009,182041
Warren,2009,66247
Washington,2009,62991
Wayne,2009,91270
Westchester,2009,956850
Wyoming,2009,41453
Yates,2009,24634
Albany,2008,299789
Allegany,2008,49594
Bronx,2008,1385371
Broome,2008,195377
Cattaraugus,2008,77775
Cayuga,2008,79812
Chautauqua,2008,133217
Chemung,2008,87619
Chenango,2008,51170
Clinton,2008,82475
Columbia,2008,62256
Cortland,2008,48328
Delaware,2008,45266
Dutchess,2008,294181
Erie,2008,908651
Essex,2008,36790
Franklin,2008,50353
Fulton,2008,55012
Genesee,2008,57721
Greene,2008,49358
Hamilton,2008,5036
Herkimer,2008,62313
Jefferson,2008,117896
Kings,2008,2549604
Lewis,2008,26403
Livingston,2008,63029
Madison,2008,69859
Monroe,2008,728695
Montgomery,2008,48560
Nassau,2008,1354833
New York,2008,1634686
Niagara,2008,214193
Oneida,2008,231868
Onondaga,2008,453316
Ontario,2008,104379
Orange,2008,381554
Orleans,2008,42138
Oswego,2008,121286
Otsego,2008,62469
Putnam,2008,99894
Queens,2008,2289695
Rensselaer,2008,155621
Richmond,2008,485719
Rockland,2008,298129
Saratoga,2008,217656
Schenectady,2008,151325
Schoharie,2008,32113
Schuyler,2008,18989
Seneca,2008,34332
Steuben,2008,96608
St Lawrence,2008,109530
Suffolk,2008,1522727
Sullivan,2008,76571
Tioga,2008,50281
Tompkins,2008,101591
Ulster,2008,182305
Warren,2008,66478
Washington,2008,62944
Wayne,2008,90960
Westchester,2008,954255
Wyoming,2008,41742
Yates,2008,24542
Albany,2007,297154
Allegany,2007,50178
Bronx,2007,1364553
Broome,2007,195161
Cattaraugus,2007,79103
Cayuga,2007,80918
Chautauqua,2007,134387
Chemung,2007,88057
Chenango,2007,51696
Clinton,2007,82260
Columbia,2007,62763
Cortland,2007,48336
Delaware,2007,45894
Dutchess,2007,296416
Erie,2007,914914
Essex,2007,37259
Franklin,2007,50805
Fulton,2007,55242
Genesee,2007,58342
Greene,2007,49912
Hamilton,2007,5117
Herkimer,2007,63007
Jefferson,2007,114354
Kings,2007,2515380
Lewis,2007,26568
Livingston,2007,63964
Madison,2007,70109
Monroe,2007,728081
Montgomery,2007,48895
Nassau,2007,1320440
New York,2007,1611158
Niagara,2007,215039
Oneida,2007,233118
Onondaga,2007,455272
Ontario,2007,104638
Orange,2007,380352
Orleans,2007,42956
Oswego,2007,122810
Otsego,2007,62542
Putnam,2007,100963
Queens,2007,2252334
Rensselaer,2007,155251
Richmond,2007,476771
Rockland,2007,295219
Saratoga,2007,216944
Schenectady,2007,150599
Schoharie,2007,32193
Schuyler,2007,19382
Seneca,2007,34827
Steuben,2007,97881
St Lawrence,2007,110894
Suffolk,2007,1472242
Sullivan,2007,76742
Tioga,2007,51076
Tompkins,2007,100687
Ulster,2007,182932
Warren,2007,66304
Washington,2007,63536
Wayne,2007,92504
Westchester,2007,950091
Wyoming,2007,42384
Yates,2007,24679
Albany,2006,298210
Allegany,2006,50737
Bronx,2006,1363555
Broome,2006,197474
Cattaraugus,2006,80814
Cayuga,2006,81672
Chautauqua,2006,136774
Chemung,2006,89752
Chenango,2006,51894
Clinton,2006,82267
Columbia,2006,63792
Cortland,2006,48752
Delaware,2006,46826
Dutchess,2006,295638
Erie,2006,933195
Essex,2006,37515
Franklin,2006,51170
Fulton,2006,55675
Genesee,2006,59301
Greene,2006,49815
Hamilton,2006,5242
Herkimer,2006,63951
Jefferson,2006,116696
Kings,2006,2490325
Lewis,2006,26642
Livingston,2006,64377
Madison,2006,70525
Monroe,2006,735330
Montgomery,2006,49099
Nassau,2006,1336706
New York,2006,1600341
Niagara,2006,217589
Oneida,2006,234732
Onondaga,2006,459279
Ontario,2006,104741
Orange,2006,373891
Orleans,2006,43503
Oswego,2006,123703
Otsego,2006,62914
Putnam,2006,100776
Queens,2006,2245375
Rensselaer,2006,155667
Richmond,2006,465405
Rockland,2006,293700
Saratoga,2006,215434
Schenectady,2006,149477
Schoharie,2006,32363
Schuyler,2006,19394
Seneca,2006,34948
Steuben,2006,98896
St Lawrence,2006,111678
Suffolk,2006,1478876
Sullivan,2006,76744
Tioga,2006,51613
Tompkins,2006,100286
Ulster,2006,183182
Warren,2006,65724
Washington,2006,63193
Wayne,2006,92018
Westchester,2006,943326
Wyoming,2006,42807
Yates,2006,24822
Albany,2005,298859
Allegany,2005,50647
Bronx,2005,1355320
Broome,2005,197979
Cattaraugus,2005,83298
Cayuga,2005,82033
Chautauqua,2005,137464
Chemung,2005,90113
Chenango,2005,51935
Clinton,2005,81992
Columbia,2005,63759
Cortland,2005,49076
Delaware,2005,47396
Dutchess,2005,293815
Erie,2005,937659
Essex,2005,38957
Franklin,2005,51082
Fulton,2005,55542
Genesee,2005,59775
Greene,2005,49265
Hamilton,2005,5234
Herkimer,2005,63949
Jefferson,2005,111627
Kings,2005,2475286
Lewis,2005,26602
Livingston,2005,64912
Madison,2005,70508
Monroe,2005,736230
Montgomery,2005,49354
Nassau,2005,1341560
New York,2005,1590675
Niagara,2005,218372
Oneida,2005,235299
Onondaga,2005,460464
Ontario,2005,103652
Orange,2005,370883
Orleans,2005,44201
