County,Year,Population,Index Count,Violent Count,Property Count,Firearm Count
Herkimer,1996,66869,1417,136,1281,3
Jefferson,1996,114980,2886,193,2693,2
Kings,1996,2304633,106659,34798,71861,7117
Lewis,1996,27632,419,34,385,0
Livingston,1996,65021,1719,123,1596,3
Madison,1996,71768,1683,99,1584,5
Monroe,1996,727575,37812,2800,35012,1043
Montgomery,1996,52138,1420,113,1307,5
Nassau,1996,1302292,32413,3268,29145,526
New York,1996,1489938,107398,22006,85392,3725
Niagara,1996,221806,9123,878,8245,71
Oneida,1996,249746,7993,619,7374,83
Onondaga,1996,473732,20303,1729,18574,212
Ontario,1996,98857,2463,84,2379,4
Orange,1996,320759,9809,1145,8664,133
Orleans,1996,45653,959,101,858,2
Oswego,1996,125869,3392,193,3199,5
Otsego,1996,61638,1415,101,1314,5
Putnam,1996,89290,1375,70,1305,3
Queens,1996,1959672,93823,18786,75037,4151
Rensselaer,1996,156474,6044,503,5541,54
Richmond,1996,381658,11951,2523,9428,382
Rockland,1996,275095,7797,658,7139,57
Saratoga,1996,193045,4382,524,3858,11
Schenectady,1996,149708,6122,557,5565,88
Schoharie,1996,33062,588,45,543,6
Schuyler,1996,19028,351,22,329,0
Seneca,1996,32661,785,46,739,3
Steuben,1996,100697,2880,204,2676,7
St. Lawrence,1996,115583,3266,194,3072,6
Suffolk,1996,1348867,45231,2567,42664,452
Sullivan,1996,70692,2939,398,2541,21
Tioga,1996,53468,839,58,781,4
Tompkins,1996,96386,3578,141,3437,19
Ulster,1996,169009,4548,592,3956,22
Warren,1996,61387,2320,201,2119,6
Washington,1996,60834,1150,62,1088,0
Wayne,1996,93063,2056,136,1920,8
Westchester,1996,889681,29486,3227,26259,553
Wyoming,1996,44087,1108,122,986,6
Yates,1996,23930,497,30,467,1
Albany,1995,290756,16699,1606,15093,157
Allegany,1995,51158,1247,160,1087,12
Bronx,1995,1200406,73397,24660,48737,5414
Broome,1995,208154,7010,420,6590,31
Cattaraugus,1995,85416,2677,279,2398,14
Cayuga,1995,82961,2457,233,2224,9
Chautauqua,1995,141908,5425,399,5026,24
Chemung,1995,94353,3545,217,3328,23
Chenango,1995,52245,1405,169,1236,5
Clinton,1995,86818,1873,290,1583,4
Columbia,1995,63286,1756,322,1434,11
Cortland,1995,49280,2101,88,2013,3
Delaware,1995,47647,1153,92,1061,2
Dutchess,1995,260997,7687,1103,6584,131
Erie,1995,965846,49897,8179,41718,1457
Essex,1995,37878,727,74,653,0
Franklin,1995,49030,1267,237,1030,5
Fulton,1995,54334,2276,141,2135,7
Genesee,1995,61178,1759,104,1655,8
Greene,1995,47242,1347,283,1064,2
Hamilton,1995,5228,151,3,148,0
Herkimer,1995,66693,1693,190,1503,4
Jefferson,1995,114677,2464,150,2314,7
Kings,1995,2298337,123733,39887,83846,9578
Lewis,1995,27559,299,25,274,1
Livingston,1995,64849,1674,140,1534,7
Madison,1995,71578,1653,69,1584,3
Monroe,1995,725620,40003,3071,36932,1202
Montgomery,1995,51999,1373,108,1265,2
Nassau,1995,1298798,33229,3198,30031,571
New York,1995,1485868,123638,25095,98543,4565
Niagara,1995,221211,9372,865,8507,87
Oneida,1995,249082,8044,617,7427,100
Onondaga,1995,472465,20489,1804,18685,223
Ontario,1995,98595,2592,128,2464,6
Orange,1995,319910,10406,1174,9232,88
Orleans,1995,45533,859,83,776,8
Oswego,1995,125534,3354,164,3190,1
Otsego,1995,61473,1324,110,1214,6
Putnam,1995,89053,1354,60,1294,11
Queens,1995,1954319,107935,21789,86146,5438
Rensselaer,1995,156057,5565,463,5102,49
Richmond,1995,380616,13829,2749,11080,480
Rockland,1995,274361,8587,767,7820,93
Saratoga,1995,192530,4286,519,3767,16
Schenectady,1995,149307,6645,616,6029,91
Schoharie,1995,32975,586,51,535,1
Schuyler,1995,18977,504,38,466,0
Seneca,1995,32576,791,43,748,3
Steuben,1995,100432,3466,214,3252,9
St. Lawrence,1995,115276,3210,205,3005,7
Suffolk,1995,1345242,47187,2758,44429,479
Sullivan,1995,70504,3031,341,2690,34
Tioga,1995,53326,919,98,821,4
Tompkins,1995,96130,4054,163,3891,15
Ulster,1995,168560,4776,524,4252,29
Warren,1995,61223,2358,281,2077,8
Washington,1995,60674,1395,162,1233,2
Wayne,1995,92816,2333,183,2150,8
Westchester,1995,887306,31001,3572,27429,654
Wyoming,1995,43971,1146,138,1008,3
Yates,1995,23867,551,60,491,2
Albany,1994,293843,16724,1771,14953,162
Allegany,1994,51575,1235,129,1106,2
Bronx,1994,1203141,84330,27863,56467,7498
Broome,1994,213168,7709,437,7272,42
Cattaraugus,1994,85932,2621,279,2342,6
Cayuga,1994,94356,2098,186,1912,10
Chautauqua,1994,142115,5251,450,4801,26
Chemung,1994,95512,3908,260,3648,11
Chenango,1994,52369,1356,196,1160,1
Clinton,1994,86314,1931,224,1707,4
Columbia,1994,63206,1690,241,1449,10
Cortland,1994,49608,2039,99,1940,4
Delaware,1994,47664,1184,76,1108,5
Dutchess,1994,263713,7570,889,6681,119
Erie,1994,975490,51657,8752,42905,1749
Essex,1994,37646,740,91,649,9
Franklin,1994,48122,1193,232,961,7
Fulton,1994,54154,2125,122,2003,8
Genesee,1994,61036,1690,102,1588,6
Greene,1994,46535,1315,271,1044,7
Hamilton,1994,5395,111,5,106,0
Herkimer,1994,66376,1431,163,1268,7
Jefferson,1994,114027,2821,179,2642,12
Kings,1994,2303574,148398,48212,100186,15260
Lewis,1994,27521,262,24,238,1
Livingston,1994,63555,1547,119,1428,4
Madison,1994,71287,1563,48,1515,2
Monroe,1994,726806,37964,3246,34718,1314
Montgomery,1994,52232,1041,70,971,2
Nassau,1994,1306358,34561,3135,31426,678
New York,1994,1489253,151083,31895,119188,7541
Niagara,1994,222338,9366,860,8506,82
Oneida,1994,253006,7896,571,7325,90
Onondaga,1994,475358,19688,1584,18104,190
Ontario,1994,97905,2430,102,2328,4
Orange,1994,316769,9969,1345,8624,132
Orleans,1994,43876,990,66,924,2
Oswego,1994,125283,3387,75,3312,5
Otsego,1994,61185,1243,87,1156,8
Putnam,1994,87473,1391,64,1327,4
Queens,1994,1958772,129050,25412,103638,7559
Rensselaer,1994,156853,5405,483,4922,37
Richmond,1994,381484,17966,3189,14777,764
Rockland,1994,271737,7378,659,6719,70
Saratoga,1994,189002,4154,456,3698,12
Schenectady,1994,150601,6813,783,6030,95
Schoharie,1994,32605,540,47,493,0
Schuyler,1994,18958,338,36,302,1
Seneca,1994,33645,787,47,740,0
Steuben,1994,100455,3303,221,3082,10
St. Lawrence,1994,114189,3446,208,3238,7
Suffolk,1994,1342613,51720,3154,48566,642
Sullivan,1994,70932,3115,381,2734,27
Tioga,1994,53551,1020,137,883,0
Tompkins,1994,95651,4468,134,4334,9
Ulster,1994,169736,5030,593,4437,23
Warren,1994,60682,2349,278,2071,5
Washington,1994,60651,1292,197,1095,1
Wayne,1994,91607,2702,203,2499,14
Westchester,1994,884719,31166,3632,27534,660
Wyoming,1994,43629,1052,171,881,2
Yates,1994,23302,608,52,556,2
Albany,1993,294302,15139,1669,13470,104
Allegany,1993,51659,1265,131,1134,4
Bronx,1993,1204950,91927,31235,60692,9954
Broome,1993,213500,7626,389,7237,31
Cattaraugus,1993,86069,2694,291,2403,13
Cayuga,1993,83056,2203,205,1998,19
Chautauqua,1993,142339,4970,395,4575,24
Chemung,1993,95663,3737,238,3499,15
Chenango,1993,52454,1175,140,1035,2
Clinton,1993,86450,1902,181,1721,3
Columbia,1993,63307,1759,274,1485,13
Cortland,1993,49686,2093,102,1991,4
Delaware,1993,47743,1150,88,1062,7
Dutchess,1993,264128,7908,888,7020,132
Erie,1993,977004,53398,8100,45298,1440
Essex,1993,37707,772,96,676,2
Franklin,1993,48199,1208,177,1031,8
Fulton,1993,54241,2197,123,2074,6
Genesee,1993,61132,1667,92,1575,11
Greene,1993,46611,1402,299,1103,2
Hamilton,1993,5404,128,8,120,0
Herkimer,1993,66483,1469,189,1280,5
Jefferson,1993,114208,2882,187,2695,7
Kings,1993,2307039,169236,54931,114305,20453
Lewis,1993,27565,317,31,286,5
Livingston,1993,63655,1701,135,1566,6
Madison,1993,71400,1520,59,1461,7
Monroe,1993,727933,42439,3132,39307,1220
Montgomery,1993,52315,1013,41,972,1
Nassau,1993,1308384,38965,3567,35398,796
New York,1993,1491493,172021,35470,136551,8766
Niagara,1993,222685,9901,950,8951,85
Oneida,1993,253403,8240,601,7639,88
Onondaga,1993,476098,20263,1716,18547,224
Ontario,1993,98060,2561,162,2399,6
Orange,1993,317272,10093,1195,8898,121
Orleans,1993,43946,1223,99,1124,4
Oswego,1993,125480,3452,97,3355,12
Otsego,1993,61281,1356,96,1260,7
Putnam,1993,87611,1543,79,1464,8
Queens,1993,1961718,149016,28565,120451,9488
Rensselaer,1993,157098,5678,471,5207,46
Richmond,1993,382057,18203,3347,14856,1029
Rockland,1993,272163,7648,618,7030,85
Saratoga,1993,189298,4277,517,3760,20
Schenectady,1993,150837,6406,744,5662,56
Schoharie,1993,32656,587,49,538,3
Schuyler,1993,18988,428,38,390,2
Seneca,1993,33701,656,44,612,0
Steuben,1993,100617,3004,205,2799,9
St. Lawrence,1993,114369,3447,218,3229,10
Suffolk,1993,1344696,59241,3799,55442,895
Sullivan,1993,71045,3111,379,2732,38
Tioga,1993,53635,1116,180,936,3
Tompkins,1993,95802,4869,217,4652,13
Ulster,1993,170006,5048,556,4492,62
Warren,1993,60776,2749,302,2447,4
Washington,1993,60747,1308,215,1093,7
Wayne,1993,91752,2839,178,2661,11
Westchester,1993,886086,32727,3840,28887,678
Wyoming,1993,43699,1151,192,959,4
Yates,1993,23339,553,59,494,2
Albany,1992,295018,16249,1588,14661,116
Allegany,1992,50820,1378,161,1217,10
Bronx,1992,1209516,92551,31050,61501,9898
Broome,1992,213668,6939,365,6574,32
Cattaraugus,1992,84825,2584,322,2262,5
Cayuga,1992,82897,2356,210,2146,9
Chautauqua,1992,142900,5317,296,5021,19
Chemung,1992,95869,4055,298,3757,16
Chenango,1992,52128,1315,125,1190,6
Clinton,1992,86579,2069,210,1859,6
Columbia,1992,63424,1875,269,1606,12
Cortland,1992,49310,2108,110,1998,5
Delaware,1992,47555,1076,85,991,10
Dutchess,1992,261299,9046,1017,8029,146
Erie,1992,975430,56304,8516,47788,1364
Essex,1992,37411,871,88,783,5
Franklin,1992,46868,1063,160,903,8
Fulton,1992,54572,2064,123,1941,5
Genesee,1992,60484,1767,79,1688,2
Greene,1992,45050,1408,261,1147,5
Hamilton,1992,5315,146,2,144,1
Herkimer,1992,66259,1727,193,1534,0
Jefferson,1992,111723,2802,249,2553,10
Kings,1992,2315780,176699,56682,120017,21070
Lewis,1992,26985,298,24,274,1
Livingston,1992,62808,1783,121,1662,1
Madison,1992,69605,1773,86,1687,1
Monroe,1992,719054,44474,2985,41489,1031
Montgomery,1992,52347,991,30,961,4
Nassau,1992,1296521,40203,3718,36485,1058
New York,1992,1497145,187947,37788,150159,9623
Niagara,1992,222326,10088,1087,9001,79
Oneida,1992,252609,9140,617,8523,84
Onondaga,1992,472306,21363,1915,19448,247
Ontario,1992,95773,2517,136,2381,14
Orange,1992,309812,10518,1254,9264,105
Orleans,1992,42140,1311,178,1133,3
Oswego,1992,122633,3553,113,3440,5
Otsego,1992,60947,1247,66,1181,4
Putnam,1992,84535,1673,107,1566,5
Queens,1992,1969950,151896,30816,121080,10936
Rensselaer,1992,155523,5661,375,5286,26
Richmond,1992,382706,18144,3319,14825,1005
Rockland,1992,267362,7715,730,6985,102
Saratoga,1992,182561,5165,566,4599,23
Schenectady,1992,150345,6944,924,6020,64
Schoharie,1992,32082,683,59,624,1
Schuyler,1992,18793,496,35,461,4
Seneca,1992,33920,703,36,667,1
Steuben,1992,99783,3439,244,3195,8
St. Lawrence,1992,112764,3810,233,3577,8
Suffolk,1992,1331288,64042,4218,59824,938
Sullivan,1992,69765,2872,334,2538,17
Tioga,1992,52708,1201,183,1018,2
Tompkins,1992,94762,4770,181,4589,4
Ulster,1992,166468,5211,501,4710,37
Warren,1992,59628,2872,373,2499,2
Washington,1992,59745,1352,189,1163,2
Wayne,1992,89754,2960,187,2773,5
Westchester,1992,881073,34275,3722,30553,619
Wyoming,1992,42804,1179,189,990,8
Yates,1992,22970,548,67,481,2
Albany,1991,294030,15464,1674,13790,120
Allegany,1991,50654,1417,134,1283,4
Bronx,1991,1205404,100071,33515,66556,10927
Broome,1991,212952,7447,339,7108,18
Cattaraugus,1991,84545,2639,273,2366,5
Cayuga,1991,82620,2554,216,2338,13
Chautauqua,1991,142423,5472,227,5245,21
Chemung,1991,95549,4190,256,3934,5
Chenango,1991,51957,1243,97,1146,8
Clinton,1991,86288,2516,269,2247,3
Columbia,1991,63215,2323,363,1960,13
Cortland,1991,49146,2193,83,2110,1
Delaware,1991,47398,1202,75,1127,1
Dutchess,1991,260427,9240,974,8266,139
Erie,1991,972153,55414,8277,47137,989
Essex,1991,37288,899,82,817,3
Franklin,1991,46713,1147,197,950,5
Fulton,1991,54391,2252,123,2129,7
Genesee,1991,60283,1752,107,1645,6
Greene,1991,44903,1626,221,1405,5
Hamilton,1991,5298,158,10,148,0
Herkimer,1991,66040,1608,104,1504,10
Jefferson,1991,111353,3202,202,3000,2
Kings,1991,2307907,191259,60814,130445,21878
Lewis,1991,26895,329,16,313,1
Livingston,1991,62601,1914,151,1763,2
Madison,1991,69375,1851,76,1775,3
Monroe,1991,716639,43858,2857,41001,871
Montgomery,1991,52173,1115,50,1065,1
Nassau,1991,1292164,43219,3848,39371,901
New York,1991,1492055,209177,41209,167968,10741
Niagara,1991,221581,10165,930,9235,78
Oneida,1991,251768,9233,489,8744,60
Onondaga,1991,470722,23254,1916,21338,188
Ontario,1991,95454,2625,90,2535,2
Orange,1991,308786,11207,1263,9944,80
Orleans,1991,42001,1313,151,1162,5
Oswego,1991,122224,3584,136,3448,8
Otsego,1991,60743,1374,62,1312,6
Putnam,1991,84254,1843,109,1734,7
Queens,1991,1962456,160205,31821,128384,11173
Rensselaer,1991,155003,5500,459,5041,20
Richmond,1991,382201,19809,3127,16682,798
Rockland,1991,266466,7910,787,7123,79
Saratoga,1991,181951,5292,558,4734,19
Schenectady,1991,149842,6364,642,5722,43
Schoharie,1991,31976,741,57,684,1
Schuyler,1991,18731,583,30,553,3
Seneca,1991,33807,808,54,754,3
Steuben,1991,99454,3509,200,3309,4
St. Lawrence,1991,112389,3853,209,3644,4
Suffolk,1991,1326812,67697,3989,63708,829
Sullivan,1991,69532,3229,338,2891,10
Tioga,1991,52531,1276,166,1110,4
Tompkins,1991,94446,4862,182,4680,6
Ulster,1991,165915,5184,544,4640,29
Warren,1991,59429,2721,298,2423,3
Washington,1991,59548,1502,209,1293,2
Wayne,1991,89454,3093,197,2896,12
Westchester,1991,878128,37118,3933,33185,774
Wyoming,1991,42663,1220,222,998,3
Yates,1991,22894,678,57,621,1
Albany,1990,292594,14418,1524,12894,122
Allegany,1990,50470,1280,146,1134,1
Bronx,1990,1200900,104729,33635,71094,10869
Broome,1990,212160,7480,306,7174,13
Cattaraugus,1990,84234,2578,171,2407,5
Cayuga,1990,82313,2331,196,2135,13
Chautauqua,1990,141895,5713,229,5484,19
Chemung,1990,95195,3816,284,3532,14
Chenango,1990,51768,1178,78,1100,1
Clinton,1990,85969,2221,242,1979,9
Columbia,1990,62982,1954,253,1701,3
Cortland,1990,48963,2123,96,2027,2
Delaware,1990,47225,1092,73,1019,3
Dutchess,1990,259462,8957,1104,7853,110
Erie,1990,968532,52314,7390,44924,758
Essex,1990,37152,959,78,881,4
Franklin,1990,46540,1166,226,940,7
Fulton,1990,54191,2259,98,2161,8
Genesee,1990,60060,1647,89,1558,3
Greene,1990,44739,1440,205,1235,4
Hamilton,1990,5279,100,4,96,0
Herkimer,1990,65797,1287,77,1210,1
Jefferson,1990,110943,3135,187,2948,2
Kings,1990,2299285,202009,63087,138922,21025
Lewis,1990,26796,322,36,286,10
Livingston,1990,62372,1915,147,1768,16
Madison,1990,69120,1913,60,1853,2
Monroe,1990,713968,42579,3317,39262,749
Montgomery,1990,51981,1015,34,981,2
Nassau,1990,1287348,42142,3223,38919,687
New York,1990,1486480,217786,44434,173352,10304
Niagara,1990,220756,9810,986,8824,73
Oneida,1990,250836,7748,388,7360,29
Onondaga,1990,468973,21823,1746,20077,120
Ontario,1990,95101,2588,121,2467,11
Orange,1990,307647,11125,1339,9786,129
Orleans,1990,41846,1104,159,945,4
Oswego,1990,121771,3374,106,3268,4
Otsego,1990,60517,1214,66,1148,3
Putnam,1990,83941,1903,135,1768,8
Queens,1990,1955125,165179,30441,134738,9832
Rensselaer,1990,154429,5438,401,5037,16
Richmond,1990,380774,21853,3092,18761,675
Rockland,1990,265475,8508,709,7799,42
Saratoga,1990,181276,5152,476,4676,12
Schenectady,1990,149285,5924,387,5537,37
Schoharie,1990,31859,749,52,697,2
Schuyler,1990,18662,646,19,627,3
Seneca,1990,33683,793,52,741,1
Steuben,1990,99088,3410,246,3164,6
St. Lawrence,1990,111974,3541,281,3260,8
Suffolk,1990,1321864,61300,3786,57514,651
Sullivan,1990,69277,3169,300,2869,10
Tioga,1990,52337,915,121,794,4
Tompkins,1990,94097,4495,143,4352,6
Ulster,1990,165304,5542,613,4929,36
Warren,1990,59209,2506,285,2221,3
Washington,1990,59330,1412,180,1232,1
Wayne,1990,89123,2604,179,2425,9
Westchester,1990,874866,38145,3871,34274,647
Wyoming,1990,42507,1354,212,1142,5
Yates,1990,22810,507,34,473,2
